NEW LEVEL
1008
36
spike 192 441
barrier 1008 600
block 1104 600 block_1
block 1152 600 block_2
block 1200 600 block_1
NEW LEVEL
3792
145
block 2784 72 block_2
block 2832 168 block_1
block 1200 264 block_2
block 2448 264 block_0
block 3552 264 block_2
block 1824 312 block_2
block 1872 312 block_1
block 1920 312 block_2
block 1968 312 block_1
block 2016 312 block_2
block 2064 312 block_1
walker 2208 312 walker
barrier 2256 312
block 3504 312 block_2
block 3552 312 block_1
block 3600 312 block_2
block 3744 312 block_1
block 1776 360 block_2
block 2064 360 block_2
block 2112 360 block_1
block 2160 360 block_2
block 2208 360 block_1
spike 2352 393
spike 2448 393
spike 2544 393
block 2976 360 block_2
block 3168 360 block_2
block 3216 360 block_1
block 3264 360 block_2
block 3312 360 block_1
block 3360 360 block_2
block 3408 360 block_1
block 3456 360 block_2
block 3504 360 block_1
block 3552 360 block_2
block 3600 360 block_1
block 3648 360 block_2
block 3696 360 block_1
barrier 816 408
walker 864 408 walker
barrier 1008 408
block 1584 408 block_0
spike 2304 441
block 2352 408 block_1
spike 2400 441
block 2448 408 block_1
spike 2496 441
block 2544 408 block_1
spike 2592 441
block 2928 408 block_2
block 2976 408 block_1
block 3168 408 block_1
block 3216 408 block_2
block 3264 408 block_1
block 3312 408 block_2
block 3360 408 block_1
block 3408 408 block_2
block 3456 408 block_1
block 3504 408 block_2
block 3552 408 block_1
block 624 456 block_2
block 672 456 block_1
block 720 456 block_2
block 768 456 block_1
block 816 456 block_2
block 864 456 block_1
block 912 456 block_2
block 960 456 block_1
block 1008 456 block_2
block 1536 456 block_0
block 1584 456 block_2
block 1632 456 block_0
block 2304 456 block_1
block 2400 456 block_1
block 2496 456 block_1
block 2592 456 block_1
block 2880 456 block_2
block 2928 456 block_1
block 2976 456 block_2
block 3168 456 block_2
block 3216 456 block_1
block 3264 456 block_2
block 3312 456 block_1
block 3360 456 block_2
block 3408 456 block_1
block 3456 456 block_2
block 3504 456 block_1
block 480 504 block_2
block 528 504 block_1
block 1488 504 block_0
block 1536 504 block_2
block 1584 504 block_1
block 1632 504 block_2
block 1680 504 block_0
block 2832 504 block_2
block 2880 504 block_1
block 2928 504 block_2
block 2976 504 block_1
block 144 552 block_2
block 384 552 block_1
block 432 552 block_2
block 480 552 block_1
block 528 552 block_2
block 1440 552 block_0
block 1488 552 block_2
block 1536 552 block_1
block 1584 552 block_2
block 1632 552 block_1
block 1680 552 block_2
block 1728 552 block_0
block 2784 552 block_2
block 2832 552 block_1
block 2880 552 block_2
block 2928 552 block_1
block 2976 552 block_2
block 96 600 block_2
block 144 600 block_1
block 192 600 block_2
block 336 600 block_1
block 384 600 block_2
block 432 600 block_1
block 480 600 block_2
block 528 600 block_1
spike 1104 633
spike 1152 633
spike 1200 633
spike 1248 633
spike 1296 633
block 1392 600 block_0
block 1440 600 block_2
block 1488 600 block_1
block 1536 600 block_2
block 1584 600 block_1
block 1632 600 block_2
block 1680 600 block_1
block 1728 600 block_2
block 1776 600 block_0
block 2736 600 block_2
block 2784 600 block_1
block 2832 600 block_2
block 2880 600 block_1
block 2928 600 block_2
block 2976 600 block_1
barrier 3120 600
walker 3168 600 walker
